HolderAddress,Balance
0x13e1a5c2bb54b4afa1a881282b96f841be6fb178,681.3810555
0x2f1d5a03420d7db41537eb1a693b534919cf3e9d,3072.388811
0x9ccdcbb4a4ede2297ff09c35fe26434c92b7b85f,343.6033517
0x78711645b90a513f4a3c0c478336399d8199696a,574.1589272
0x4e3d0b49d51dabcebcbc87f121375dddccbdbffe,2051.875501
0xef516cce5220fdd74b91cb2b9dd91fb44524b91a,1.00026768
0x355e109956b1070871365f7096c042d0c0d4a008,1481.480071
0xe9de6bfd37462a5cd899b183753d75201f19b152,34700.92124
0xe2602e2bfad873c1235ceb64e1ec71a7ee9e2fe6,5171.091246
0x0c8cbf5b9b1de13001d01be87605ec2e781f9893,1796.391594
0xb27729e34bc60536b37209b1c6f563db24748ed0,28985.55836
0x56ace73e904a1943df7e4e033a9b5cc0ce8792fa,40.91583653
0x506e7197670029469b7439fa9d385da9ecd3a755,4127.99594
0x7eed2de8978f8556558d27c3e2b826f6ee184cdf,1515.85124
0xf8a23313cfb78f8e0294afeab1532eee88e1cb91,0.060183754
0x00f0d7730ecadadac5297374d22f198fe109cbc2,4691.982852
0x748f809957c9cb0febba4a31b64ff752dd68eecc,48306.42947
0x06dde2984297ee324a8daee42bfd19379f87898e,41360.78362
0xe913fd82c327cf062bd2cfc59010088f1055bbc7,182.0000011
0x886d97d6828ccf522c1c394fd203e54562f1ce52,159.495407
0x534cfc603e5d89de6adedce8abd8743c80b6b3df,271.0244003
0x15b25bad2f9a19bddbe7464b01d95f0333927ee8,4020.287635
0x8f21aaed1dbb0098ca7b4bce9a0739b48f930f9b,244.409316
0xf8313873e5c6f36e267feb9fcd34b18a697e5325,0.000621438
0x52ea0473f99cfbffc0b4f2c6a776d81d84df99cb,13.20125174
0x52cf0ff8cc37465aa19e1f810dc16594b5860fb3,2774.990077
0x9610ece1c3f0b6b5007f46e1f213b348f68ca487,3000
0x4d1c14c83b266bbf635ab8550c702a188eb89db9,5167.702009
0xfd2f94fb537a9e291aa48c2e94e9db9549e4c7ed,39614.4398
0x5fa0a3e907f01ab4453d4abb05f485a6b8dcb95d,1.00815804
0x0698ac34c1e195a4f0429f272e436d25cebf7e2c,3554.214075
0x0354c183811739a7c06e6e17ea51b8f01f4555d8,81.0507339
0xdc15e14ee2f1722cb0a1a697ebe187c4e36cf1b8,1.21678886
0x620a727b9cc4ba48a809c14cd9f4399c7f31c800,486.1543236
0x2dad03a8f748e59692bc1af3c066de4d2adb828b,4857.857076
0x87c4d86da32c870f912dade19227e9a32119d564,1449.278686
0x21cee24249bfb81f3e3f71aa8ce794c270114c40,1.00405901
0xfdbe183b36b08edeecbdf866e6070f6c578511a5,20258.02273
0x1a3e549a1e658c836be6dea78afdddd46f6180ab,5929.087126
0x1b4dfec572830e019a0f2fbec7eaa467340dc6e9,0.10475824
0x86e26d8471862fdb88bfdc959d7bab4f81415693,71.96923005
0xff0fb21073266f6e1a4b3ba64ffcaeb378c16153,13668.55674
0x61a49b120284acd26a20b8f462b25f00302f8129,2352.289047
0xad6fbc6c50df7cf93d8c955196b88752e26b67eb,11275.81998
0xca67fd8358c4c2a920baa8ce53f273aac1c6f472,0.369042039
0xa04fa41b4c28cb856d0a3c1e69b97e1fd0d3b47a,0.515459594
0x78b2fd2f908a45df0d17fac12c24e4148238b009,4822.845999
0x362c562a97ab16c01195980c3eff1a5e9f3b599a,28893.4897
0xed860e0dcbc5021cb15c1c48b4c1340fe989a748,20179.41779
0xa9d2d3fa43ccfbf381f775286621ac228d1d3a72,81806.51799
0xa3e6b044cad98103182dc24b8956a8c898066a9c,1599.698118
